[2025-11-10 00:46:19.810] [info]  DiscordSplash.signalReady
[2025-11-10 00:46:19.826] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-11-10 00:46:19.826] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-11-10 00:46:19.827] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-11-10 00:46:19.827] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-11-10 00:46:19.828] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-11-10 00:46:19.828] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-11-10 00:46:19.828] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-11-10 00:46:19.828] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-11-10 00:46:19.828] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-11-10 00:46:19.828] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-11-10 00:46:19.828] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-11-10 00:46:19.829] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-11-10 00:46:19.829] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-11-10 00:46:19.829] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-11-10 00:46:20.338] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-11-10 00:46:20.338] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-11-10 00:46:20.739] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-11-10 00:46:20.739] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
